qid,category,hops,question,relevant_doc_ids,reference_answer
Q38,temporal,3,What new drug classes were added to diabetes care between 2014 and 2025?,DIA-v1_0|DIA-v2_0|DIA-v3_0,SGLT2 inhibitors (2020) and GLP-1 receptor agonists (2025) were added to metformin.
Q39,temporal,2,How did heart failure first-line therapy change from 2015 to 2023?,HF-v1_0|HF-v2_0,From ACE inhibitor plus beta-blocker to four-pillar therapy adding an MRA and an SGLT2 inhibitor.
Q40,temporal,2,How did the stroke time window change between 2016 and 2023?,STR-v1_0|STR-v2_0,Thrombolysis within 4.5 hours plus mechanical thrombectomy up to 24 hours in selected patients.
Q41,temporal,2,What changed in default antibiotic duration between the 2015 and 2021 stewardship pathways?,AMS-v1_0|AMS-v2_0,Default moved from 5-7 days to 5 days for uncomplicated infections.
Q42,temporal,2,What new AKI detection method was introduced in 2022 compared with 2016?,AKI-v1_0|AKI-v2_0,An automated electronic AKI alert plus urine-output staging criteria.
Q43,temporal,2,What reversal-stock change happened between the 2017 and 2024 anticoagulation pathways?,ANTI-v1_0|ANTI-v2_0,Idarucizumab and andexanet alfa are now stocked in the Emergency Department.
Q44,temporal,2,What was added to VTE prophylaxis options between 2018 and 2025?,VTE-v1_0|VTE-v2_0,Direct oral anticoagulants for extended prophylaxis after major orthopaedic surgery.
Q45,temporal,1,What diagnostic test was added to pre-eclampsia care between 2017 and 2024?,MAT-v1_0|MAT-v2_0,Placental growth factor based testing.
Q46,temporal,1,Which is the current version of the Antimicrobial Stewardship Pathway and what did it add?,AMS-v3_0,"v3.0 (2025), which added OPAT and a maternal antibiotics annex."
Q47,temporal,2,"Between 2015 and 2025, when were sick day rules introduced for diabetes drugs?",DIA-v2_0|DIA-v3_0,Sick day rules were introduced in the 2020 version and reinforced with a written card in 2025.
Q48,negative,1,What is the recommended insulin pump brand for paediatric type 1 diabetes?,,Not covered in this corpus; the model should say it cannot find this.
Q49,negative,1,What is the network policy on organ transplantation immunosuppression?,,Not covered in this corpus; the model should decline.
Q50,negative,1,What are the COVID-19 vaccination intervals in the current schedule?,,Not covered in this corpus; the model should decline.
